,seats,kms_driven,manufacturing_year,mileage(kmpl),engine(cc),max_power(bhp),torque(Nm),price(in lakhs)
1375,4,7421,2021,15.2,1997,1997,150,12.49
1376,5,5252,2021,18.3,1498,1498,11935,12.07
1377,5,63663,2014,16.78,1496,1496,8873,3.41
1378,5,60545,2015,17.8,1497,1497,1173,5.55
1379,5,85602,2016,17.8,1198,1198,867,3.33
1380,7,35902,2019,15.04,2755,2755,1745,28
1381,5,87172,2018,15.8,1591,1591,1213,7.88
1382,5,52950,2014,16.47,1198,1198,739,3.72
1383,5,42005,2016,17.01,1591,1591,1213,4.71
1384,5,64000,2018,15.8,1591,1591,1213,8.25
1385,5,32000,2019,17,1591,1591,1213,8.25
1386,5,65000,2018,15.8,1591,1591,1213,8.5
1387,5,21000,2018,14.59,1999,1999,14992,8.85
1388,5,39450,2016,14.28,1798,1798,13803,8.15
1389,5,32000,2017,14.59,1999,1999,14992,8.85
1390,5,60314,2018,17.5,1199,1199,887,5.75
1391,5,4000,2018,19.1,1368,1368,986,7.49
1392,5,65000,2017,28.09,1248,1248,8850,5.25
1393,5,78019,2015,19.67,1582,1582,1262,6.39
1394,5,42970,2020,16.42,1498,1498,10455,7.64
1395,7,176000,2010,12.8,2494,2494,102,4.4
1396,5,24100,2019,20.52,1197,1197,8180,4.74
1397,5,51123,2015,21.4,1197,1197,831,4.71
1398,5,66000,2016,16.8,1395,1395,13802,5.95
1399,5,48405,2015,27.39,1248,1248,74,4.98
1400,5,52305,2013,17.68,1968,1968,17433,10.75
1401,5,46488,2015,24,1120,1120,70,3.71
1402,5,71842,2018,22.54,1396,1396,8876,5.29
1403,5,91000,2014,26,1498,1498,986,3.95
1404,5,51334,2013,21.9,1396,1396,8876,2.8
1405,7,72560,2016,12.9,2755,2755,1745,16.7
1406,5,68000,2018,20.3,1086,1086,68,3.85
1407,5,45000,2014,22.41,1197,1197,8850,3.6
1408,5,44000,2013,13.17,1999,1999,114,3.95
1409,5,47000,2016,14.67,1798,1798,17746,10.95
1410,7,92044,2016,12.55,2982,2982,1685,16.5
1411,7,40000,2018,14.75,2967,2967,245,46
1412,5,60545,2015,17.4,1497,1497,1173,5.5
1413,5,79097,2014,1248,7394,7394,190,3.29
1414,5,68619,2013,19.1,1197,1197,858,3.44
1415,5,34452,2014,14.16,1968,1968,1743,16.75
1416,5,40326,2017,24,1186,1186,7397,5.22
1417,5,40021,2019,19.02,1198,1198,6705,3.92
1418,5,44000,2019,998,6705,6705,90,3.99
